PPN	Signatur	Signatur_PPN	Product	DateCreated	Artist	
489103081	R 4882	R 4882 489103081	Manguta / Nguashi Ntimbo & le T.P. O.K. Jazz - Star	1982	Ngwashi N'Timbo / Tout-Puissant OK Jazz	
489103871	R 4878	R 4878 489103871	Franco et l'OK Jazz / Franco et l'OK Jazz - African	1986	Franco <Musiker> / Tout-Puissant OK Jazz	
48949725X	CD 2186	CD 2186 48949725X	Kessé kessé / Antoine Moundanda Likembé Géant - Label Bleu	1997	Moundanda, Antoine / Moundanda, Antoine	
489497268	CD 2187	CD 2187 489497268	Mosseka / Antoine Moundanda - Celluloid	1995	Moundanda, Antoine	
489497330	CD 2189	CD 2189 489497330	Divisé par deux / L’Empire Bakumba & Pépé Kalle - Babi Production	1992	Pépé Kallé / Empire Bakuba	
489497411	CD 2190	CD 2190 489497411	Stop feu rouge : Voisin / Nyboma, Madilu, Pepe Kalle et Simaro - Bleu Caraïbes	1990	Nyboma / Madilu System / Simaro <Musiker> / Pépé Kallé	
489497454	CD 2191	CD 2191 489497454	Sambi noko ya libala / Pépé Ndombe & Afrizam - Reproduction Ngoyarto	1995	Ndombe, Pepe / Orch. AFRIZAM	
489497705	CD 2129	CD 2129 489497705	Bana Congo / Papa Noel & Papi Oviedo - Tumi Music	2001	Papa Noël / Papi Oviedo	
489512445	CD 2193	CD 2193 489512445	Café Noir / Papa Noel - Tumi Music	2006	Papa Noël	
489515169	CD 2200	CD 2200 489515169	Sam Mangwana sings Dino Vangu / Sam Mangwana, Dino Vangu - Stern's Music	2000	Dino Vangu / Mangwana, Sam / Dino Vangu	
48951541X	CD 2201	CD 2201 48951541X	No me digas no / Sam Mangwana - Declic Communication	1995	Mangwana, Sam / Mangwana, Sam	
489516793	CD 2181	CD 2181 489516793	Le Grand Kalle : volume 1 / Grand Kalle - Authentic Music	1990	Kabasele, Joseph / African Jazz / African Team de Paris	
489974104	CD 2202	CD 2202 489974104	Wenze-wenze / Sam Mangwana - Glenn Music	1996	Mangwana, Sam	
489974430	CD 2203	CD 2203 489974430	Pátria querida / Mangwana - Mangwana Internacional	2003	Mangwana, Sam	
489974457	CD 2204	CD 2204 489974457	Cantos de esperança / Mangwana - Next Music	2003	Mangwana, Sam	
