PPN	Signatur	Signatur_PPN	Product	DateCreated	Artist	
349824592	R 1161	R 1161 349824592	Filing avec sélection / Diodio et Ya-Djecko - Safari Ambiance [Distr.]	1985	Louvila, Diodio R. / Ya-Djecko	
349830185	R 1162	R 1162 349830185	Ba camarades / Kosmos - Safari Sound, Safari ambiance (Distr.)	1996	Kosmos <Musiker>	
349836116	R 1163	R 1163 349836116	Les vacanves au pays / Michel Moutouari - Sacodisc Internat.	1980	Moutouari, Michel	
349837988	R 1164	R 1164 349837988	Madjenine / Emmanuel Nsakala Nguimbi et l'Orchestre Brazza Kin Ambiance - Safari Ambiance [Distr.]	1985	Nsakala Nguimbi, Emmanuel / Orchestre Brazza Kin Ambiance	
349838623	R 1165	R 1165 349838623	À l'heure du Sahel / Ya Claude - Eds. Tchi-Tchi	1985	Ya Claude	
349851980	R 1166	R 1166 349851980	Amie vipère / Adam Saawa - SMP Records	1985	Saawa, Adam	
349852383	R 1167	R 1167 349852383	Bolingo ya makambo / Lousaka-Foula - Willy Mamfouana	1985	Lousaka-Foula	
349854912	R 1168	R 1168 349854912	Pour une vie au paradis ... / Gerry-Gerard ; Tino Muinkua ; José Missamou - Tchi-Tchi Prod.	1985	Gérard, Gerry / Muinkua, Tino / Missamou, José	
349857148	R 1169	R 1169 349857148	Super Wax et Cie. / R.A.S. Kebo - Industrie Africaine du Disque	1985	Kebo	
349872198	R 1170	R 1170 349872198	Maria na lembi / Orchestre Sossa - Pathé Marconi (EMI)	1976	Orchestre Sossa	
349872937	R 1171	R 1171 349872937	Christine / Orchestre Yebo-Nde - Production Mathias Elenga	1985	Orchestre Yebo-Nde	
349874379	R 1172	R 1172 349874379	Jeune déroute / Djo Cassidi et les Zombi de Brazzaville - Woumba Loko (Sonodisc)	1989	Cassidy, Djo / Zombi de Brazzaville	
349875278	R 1173	R 1173 349875278	Kanga lazaret / Michel Boyibanda [et] Ebuka System's - Eds. Veve Internat.	1985	Boyibanda, Michel / Ekuba System's	
349913625	R 1188	R 1188 349913625	Ale Mama / Lady-Isa - Espera	1985	Lady Isa	
349962448	R 1192	R 1192 349962448	Le phénomènal / Souzy Kasseya - Eska International	1985	Kasseya, Souzy	
350044899	R 1195	R 1195 350044899	Trop c'est trop / Seigneur Tabu Ley Rochereau et l'Afrisa International - Eds. Kaluila	1989	Ley, Tabu / Afrisa International Orchestra	
350046638	R 1196	R 1196 350046638	Tshibola / Orchestre Tshala Muana - Espera	1985	Muana, Tshala / Orchestre Tshala Muana	
350047081	R 1197	R 1197 350047081	Djessy - Dyna / Kanda Bongo Man - Afro-Rythmes	1985	Kanda Bongo Man	
350078580	R 1202	R 1202 350078580	6 Juin 1956 - 6 Juin 1980, 24 ans d'age / Tonton Franco et le T.P.O.K. Jazz - V.I.S.A. 1980	1980	Franco <Musiker> / Tout-Puissant OK Jazz	
350081867	R 1203	R 1203 350081867	Inokeka - Nokeka / Tina Dakouri - ESKA Prod./Eddy'son Cons. Mondial	1985	Dakouri, Tina	
350644381	R 1204	R 1204 350644381	Retour à l'envoyeur / Pierre Moutouari - Les Etablissements P.M.	1982	Moutouari, Pierre	
350644888	R 1205	R 1205 350644888	Danger j'arrive : talent-puissance-swing / Michel Moutouari - Kadance	1983	Moutouari, Michel	
350646236	R 1206	R 1206 350646236	Samedi super - Makosmurf / Jimmy et Frédo - SONOG Distr.	1985	Mvondo, Jimmy / Frédo <Musiker>	
350672636	R 1210	R 1210 350672636	Sambela / Bopol Masiamina et Syran Mbenza - The Best African Sound (Sonodisc)	1987	Mansiamina, Bopol / Mbenza, Syran	
350673233	R 1211	R 1211 350673233	Ena / Choc Stars - Afro-Rythmes, Eds. Bobet (Distr.)	1980	Choc Stars	
350685517	R 1213	R 1213 350685517	Nangadef / Ray Lema - Mango (Island Records)	1989	Lema, Ray	
350688753	R 1214	R 1214 350688753	La belle étoile / Empire Bakuba - EVVI Zaire	1985	Pépé Kallé / Empire Bakuba	
350689415	R 1215	R 1215 350689415	Mbutamuntu / Choc Stars - Safari Ambiance (Distr.), Anitha-Ngapy Prod.	1985	Choc Stars	
350701954	R 1216	R 1216 350701954	Premier amour / Choc Stars - Anitha-Ngapy Prod.	1985	Choc Stars	
350702659	R 1217	R 1217 350702659	Mimi Ley / Tabu Ley et l'Orchestre Afrisa International - African	1964	Ley, Tabu / Afrisa International Orchestra	
350705305	R 1219	R 1219 350705305	Assez / Joe Poster et le Grand Zai͏̈ko - Scorpion Prod./Clesh-Records	1985	Poster, Joe / Grand Zaiko Wawa	
350716277	R 1220	R 1220 350716277	Muvaro / Orchestre Zai͏̈ko Langa-Langa - Industrie Africaine du Disque	1983	Zaïko Langa Langa	
350716935	R 1221	R 1221 350716935	Vol. 1 / [div. Interpreten] - Sonafric (Sonodisc)	1977		
350828369	R 1222	R 1222 350828369	Na loba loba pamba te / Franco et l'Orchestre T.P. O.K. Jazz - African (Sonodisc)	1977	Franco <Musiker> / Tout-Puissant OK Jazz	
350833877	R 1224	R 1224 350833877	Nalingi yo mingi / Johny Bokelo. Orch. Conga - Afric'Music	1981	Bokelo, Johnny / Conga Succès	
350834490	R 1225	R 1225 350834490	C'est (pas) trop tard / Zai͏̈re All Stars - Eds. Kaluila, Gefraco (Distr.)	1985	Zaïre All Stars	
350837597	R 1226	R 1226 350837597	Orchestres: Conga. Elegance-Jazz. Surprise Los Angel. Symby. Bella-Bella. International Afrisa. Mando Negro Kwala-Kwa. TP Zembe-Zembe. T.P.O.K. Jazz - African	1971	Conga Succès / Orchestre Élégance-Jazz / Orchestre Los Angel / Orchestre Symba / Orchestre Bella-Bella / Afrisa International Orchestra / Orchestre Mando Negro Kwala Kwa / Orchestre T.P. Zémbe-Zémbe / Tout-Puissant OK Jazz	
350871779	R 1227	R 1227 350871779	Ngai mwana / Orchestre Kouloukoko du Zai͏̈re. Paroles et musique par Gérard Akueson - Sonafric (Sonodisc)	1978	Akueson, Gérard / Orchestre Kouloukoko du Zaïre	
350874727	R 1228	R 1228 350874727	Tata na Chambue / Orchestre International Lipopo du Zaire - Pathé Marconi (EMI)	1976	Orchestre International Lipopo du Zaïre	
350874956	R 1229	R 1229 350874956	Kidiba / Orchestre Lomeka - Pathé Marconi (EMI)	1977	Orchestre Lomeka	
350948585	R 1231	R 1231 350948585	Gina 85 / Manuaku Waku & Grand Zai͏̈ko Wawa - Black Music	1985	Waku, Manuaku / Poster, Joe / Grand Zaiko Wawa	
350955816	R 1232	R 1232 350955816	Baluti / Orchestre Vévé - African	1973	Orchestre Veve	
350957169	R 1233	R 1233 350957169	Bon Samaritain / Nedule Papa Noe͏̈l - Industrie Africaine du Disque	1985	Papa Noël	
350958149	R 1234	R 1234 350958149	Elle et moi / Koffi Olomidé - Eds. Kaluila, SonoDisc ; GEFRACO (Distr.)	1989	Olomidé, Koffi	
35095870X	R 1235	R 1235 35095870X	Vebaka serment / Verckys et l'Orchestre Veve - Sonafric (Sonodisc)	1975	Verckys / Orchestre Veve	
350959722	R 1236	R 1236 350959722	Rencontre : deux styles, une musique / Pablo de Zaiko ; Bozi de Langa Langa star - Musicanova	1985	Pablo <Musiker> / Boziana, Bozi	
35119567X	R 1237	R 1237 35119567X	Musique Tshokwe - Zai͏̈re / éd. par l'Institut des Musées Nationaux du Zaire avec le Musée Royal de l'Afrique Centrale. Barbara Schmidt-Wrenger - Institut des Musées Nationaux du Zaire, Musée Royal de l'Afrique Centrale	1985	Schmidt-Wrenger, Barbara / Institut des musées nationaux du Zaïre / Musée Royal de l'Afrique Centrale	
351199853	R 1239	R 1239 351199853	Lolombo / Sax Matalanza - Eds. Matalanza, Bade Stars Music (Distr.), Musica Nova (Distr.)	1986	Matalanza, Sax	
351230025	R 1241	R 1241 351230025	Jalousie / Abeti accomp. par son orchestre Les Redoutables - Iris Prod., Bade Stars Music (Distr.)	1985	Abeti / Redoutables	
351231188	R 1242	R 1242 351231188	Moi chercher encore / Mhanu "M.K.R." - D.L.M.	1985	Mhanu	
351232044	R 1243	R 1243 351232044	Mariage forcé / Bopol Mansiamina - Sacodisc International	1985	Mansiamina, Bopol	
351233628	R 1244	R 1244 351233628	Décèption motema / Bopol Mansiamina - Star Musique/Makossa Internat. Records, African Record Centre (Distr.)	1985	Mansiamina, Bopol	
351234853	R 1245	R 1245 351234853	Dada Micha / Bopol - Bleu Carai͏̈bes/B.M. Prod.	1988	Mansiamina, Bopol	
351236074	R 1246	R 1246 351236074	Belinda / Bopol Mansiamina - Syllart Records (Mélodie Distr.)	1985	Mansiamina, Bopol	
351237860	R 1247	R 1247 351237860	Jolie poupée / Kintaki - Kintaki B. & Co. (Studio Caroline)	1985	Kintaki, Blaise	
35150589X	R 1248	R 1248 35150589X	Helena / Bopol - Syllart Prod.	1984	Mansiamina, Bopol	
351508570	R 1249	R 1249 351508570	Ça c'est quoi? / Bopol Mansiamina - B.M. Tia/Celluloid, Mélodie (Distr.)	1985	Mansiamina, Bopol	
351509801	R 1250	R 1250 351509801	Serrez ceinture / Bopol Mansiamina - Syllart Records	1986	Mansiamina, Bopol	
351514767	R 1251	R 1251 351514767	Alanga Nzembo / Rachid King et les Imbattables - Sonafric (Sonodisc)	1976	Rachid King / Imbattables	
351516166	R 1252	R 1252 351516166	African Gang / Jerry Malekani - SMP Records	1985	Malekani, Jerry	
351517588	R 1253	R 1253 351517588	Losako / Jerry Malekani - Bleu Carai͏̈bes (Mélodie Distr.)	1985	Malekani, Jerry	
351610855	R 1254	R 1254 351610855	4e dimension / Roy Langa - Safari Ambiance (Distr.)	1986	Langa, Roy	
351611703	R 1255	R 1255 351611703	Mokili - mpona bato / The New Sunrise Group from Zai͏̈re - L'Escargot	1982	New Sunrise Group	
35161222X	R 1256	R 1256 35161222X	Europa 88 / Anti Choc - Scorpion Prod.-Éd. Aswe Records, Afridisc (Distr.)	1988	Anti Choc	
351615121	R 1257	R 1257 351615121	Mokitani ya wendo / Rochereau, Kalé, Ndombe Pepe et l'orchestre African Fiesta National - Sonafric (Sonodisc)	1985	Ley, Tabu / Kabasele, Joseph / Ndombe, Pepe / African Fiesta	
351845550	R 1258	R 1258 351845550	Franco et l'O.K. Jazz / Franco et l'Orchestre O.K. Jazz - Sonodisc (African)	1984	Franco <Musiker> / Tout-Puissant OK Jazz	
351846948	R 1260	R 1260 351846948	Omona wapi / Franco and Rochereau - Shanachie Records	1984	Franco <Musiker> / Ley, Tabu	
351848401	R 1261	R 1261 351848401	Nouvelle formule / Tiers Monde Coopération. Empompo Loway ; Sam Mangwana ; Ndombe Opetum - Industrie Africaine du Disque	1983	Loway, Empompo / Mangwana, Sam / Ndombe, Pepe / Tiers Monde Coopération	
354402684	R 1389	R 1389 354402684	Donkale / John Boxingo et le Groupe Loketo - Sound Wore Music (Distr.)	1989	Boxingo, John / Loketo	
356167941	R 1604	R 1604 356167941	Banganga ya Moyindo / Ngwashi N'Timbo - Disques Musicanova	1985	Ngwashi N'Timbo	
358513693	CD 1078	CD 1078 358513693	Zap Mama / Zap Mama - Cram World/Crammed Discs	1991	Daulne, Marie / Zap Mama	
358852803	R 1778	R 1778 358852803	I love you bolingo / Déesse Mukangi - J.I.P. (Jimmy Houetinou)	1990	Mukangi, Déesse	
358866030	R 1779	R 1779 358866030	Zabolo / Empire Bakuba de Pepe Kallé, Dilu Dilumona et Papy Tex - EVVI Zaire	1985	Pépé Kallé / Dilumona, Dilu / Papy Tex / Empire Bakuba	
358867959	R 1780	R 1780 358867959	Africa mon pays / Casino Kazingo - 3A Prod., Music Control (Distr.)	1980	M'bilia, Casimir	
35889400X	R 1781	R 1781 35889400X	... sentiment esimbi ye ... / Bilenge-Sakana - Deyget Bertrand, Sonodisc (Distr.)	1982	Bilenge-Sakana	
358910226	R 1787	R 1787 358910226	Sous le ciel des tropiques / Tadi Zeze - Tadi Zeze Prod.	1990	Tadi-Zézé <Musiker>	
358912016	R 1788	R 1788 358912016	L'embarras du choix / Zitany Neil - Eds. Kaluila	1990	Zitany, Neil	
359104827	R 1789	R 1789 359104827	Cheri Popo / Yaya M'buta Mashakado - Rosi-Music Prod.	1985	Yaya M'buta Mashakado	
359109217	R 1790	R 1790 359109217	Tia tibi tia yala / Orchestre Le Peuple - Prod. Musicale Le Peuple, Neva Music (Distr.)	1981	Orchestre Le Peuple	
359133312	R 1794	R 1794 359133312	Chacun pour soi / Shimita El Diego. Accomp. par Soukous-Stars - Sonodisc	1995	Shimita / Soukous Stars	
359135765	R 1795	R 1795 359135765	Meca-Meca style à la mode / Orchestre à l'accompagnero de Bakolota-Band - E.BA.DIS	1985	Bakolota / Bakolota Band	
35914635X	R 1799	R 1799 35914635X	Dansez Othulé / Zai͏̈ko Langa-Langa - Éds. A.P.L.	1994	Zaïko Langa Langa	
359154654	R 1801	R 1801 359154654	Malata / Lutchiana Mobulu. Accomp. par Empire Bakuba - Jacky Toto Prod., Afric'Music	1985	Lutchiana Mobulu / Empire Bakuba	
35915543X	R 1802	R 1802 35915543X	Médecin de nuit - Saad / Josky Kiambukuta ; Ntesa Dalienst - Air Zai͏̈re, Ed. Bisel (Distr.), Musicanova (Distr.)	1985	Josky / Dalienst, Ntesa	
359155782	R 1803	R 1803 359155782	Dieu voit tout / Fafa de Molokai͏̈ ; Olomidé - Sonodisc	1985	Olomidé, Koffi / de Molokaï, Fafa	
359159818	R 1806	R 1806 359159818	Malembe / Lady Isa - Prod. Lady Isa, Sonodisc (Distr.)	1985	Lady Isa	
359160883	R 1807	R 1807 359160883	Tshebo / Canon du Zai͏̈re - L'International Don-Dass	1981	Josky / Canon du Zaïre	
359167209	R 1808	R 1808 359167209	Doné Bis / Evoloko Jocker et Langa-Langa-Stars - Veve International	1986	Evoloko Jocker / Langa Langa Stars	
359167802	R 1809	R 1809 359167802	Iza Issa / Ntesa Dalienst - Rythmes et Musique	1985	Dalienst, Ntesa	
359168345	R 1810	R 1810 359168345	Hymne-Bayaka / Le Grand Zaiko - Sonodisc	1994	Grand Zaiko Wawa	
35917292X	R 1811	R 1811 35917292X	La renaissance de l'international orchestre populaire / SBB Les Supers Boboto du Congo - Eds. Nionka, Mbalamona (Distr.)	1981	Orchestre Super-Boboto	
35918880X	R 1812	R 1812 35918880X	Ngounda / Koffi Olomide et son ensemble - Safari Music, African Records Center (Distr.)	1985	Olomidé, Koffi	
359189202	R 1813	R 1813 359189202	Iko mbele - iko nyuma / Koffi Olomide - Tchika Prod.	1985	Olomidé, Koffi	
359192661	R 1814	R 1814 359192661	Ngobila / Olomide - Afro-Rythmes	1985	Olomidé, Koffi	
359197094	R 1815	R 1815 359197094	Loin des yeux / Pépé Kallé - Flash Diffusion Business	1993	Pépé Kallé	
359197604	R 1816	R 1816 359197604	Vivre avec toi / M'Pongo Love - New King Prod.	1985	Love, M'Pongo	
359198163	R 1817	R 1817 359198163	Maître Sokete / Michel Moutouari - ACP'Music, Gefraco (Distr.)	1985	Moutouari, Michel	
359202306	R 1818	R 1818 359202306	Maloukou - Bakala-Diani-Bika / Moumpala-Mick-Michel Tsiototo. Accomp. de l'orchestre CEPAKOS - Eds. Neva-Music	1985	Moumpala, Michel / Trio Ce.Pa.Kos	
359218970	R 1819	R 1819 359218970	Nzongo'Soul présente les Bruches Walla / Les Bruches Walla. Faustin Nzongo ... - IAD	1984	Nzongo'Soul / Bruches Walla	
359220355	R 1820	R 1820 359220355	Amour ... académique! / Mascot de Katalas - Leader Records/Leader Music	1988	Mascot de Katalas	
359281524	R 1822	R 1822 359281524	Etumbu / Klay - Dignité	1988	Klay	
359282024	R 1823	R 1823 359282024	Tenue correcte exigée / Gloria Tukhadio - Sonodisc	1994	Thukadio, Gloria	
359285287	R 1824	R 1824 359285287	Kabibi dance remix / Petit Poisson - Avedila - Richa Prod.	1990	Petit Poisson / Avedila, Richard	
359287549	R 1826	R 1826 359287549	Succès 83 : rythme Kinga Ndense / Johnny Bokelo Isenge avec son orchestre Africa-Mbonda - Ed. Nzale	1983	Bokelo, Johnny / Africa-Mbonda	
359445055	R 1827	R 1827 359445055	A.S. Biliman / Johnny Bokelo - Star/Shakara Music	1983	Bokelo, Johnny	
359627617	R 1853	R 1853 359627617	The best ambiance / Bibi Dens Tshibayi - Celluloid	1982	Tshibayi, Bibi Den's	
360791301	R 1935	R 1935 360791301	Likita / Jena Manda-Ko - Kadance (Distr.)	1985	Kanda Bongo Man / Manda Ko, Jena	
361026498	R 1940	R 1940 361026498	La fête au village / Lucky Zebila et ses rythmes de base - L'Harmattan-Le Baobab Records	1985	Zebila, Lucky	
361102097	R 1956	R 1956 361102097	Lady / Ange Linaud - Rythmes et Musique	1984	Linaud, Ange	
361290853	R 1958	R 1958 361290853	Mbanda matière / Tshala Muana - Safari ambiance (Distr.)	1984	Muana, Tshala	
361306342	R 1962	R 1962 361306342	On stage with / Remmy Ongala - Ahadi Records, FRA Flatim Records Agencies (Distr.)	1988	Ongala, Remmy	
362688737	R 2064	R 2064 362688737	Yembele / Samba Mapangala et son Orchestre Virunga - Ouatt Afro Rythmes	1985	Mapangala, Samba / Samba Mapangala et son Orchestre Virunga	
362719853	CD 1085 	CD 1085  362719853	Le dernier empereur Bantou / Pierre Kwenders - P K, Bonsound Records	2014	Kwenders, Pierre	
362954631	R 2088	R 2088 362954631	Lorenzo : mémoires musicales du Zaire / Le poète Efongé Gina - Biema Records	1980	Gina-wa-Gina	
363017216	R 2090	R 2090 363017216	N'zing zong / Soki Vangu. Orchestre Bella-Bella - Ouatt Afro Rythmes	1990	Soki Vangu / Orchestre Bella-Bella	
363545972	R 2099	R 2099 363545972	Philosophie / Essous (trois-s) - Publi-Congo	1970	Essous, Jean Serge	
363547347	R 2100	R 2100 363547347	Bayembi-Africa / M'Voutoukoulou David Calvet and Bayembi-Africa - Bayembi-Africa	1980	M'Voutoukoulou, David Calvet / Bayembi-Africa	
363579125	R 2103	R 2103 363579125	Lokito / Kabert and Abro - ERI-Ebeny Records International	1985	Kabasele Kabert / Moke Monshe	
363580360	R 2104	R 2104 363580360	Baba Cool le phénoménal, le pas possible / Baba-Cool - Disque-Guerry	1975	Baba-Cool	
365330892	R 2183	R 2183 365330892	Volume 1 - Sonodisc	1994	Wenge Musica BC BG	
365333417	R 2185	R 2185 365333417	Point d'interrogation / Lutchiana 100% Mobulu - Sonodisc	1994	Lutchiana Mobulu	
365334383	R 2188	R 2188 365334383	Every body / King Kester Emeneya - Sonodisc	1993	Emeneya	
365334707	R 2189	R 2189 365334707	Tant pis pour toi / Abby Surya - Tamaris, Sonodisc (Distr.)	1993	Surya, Abby	
365340391	R 2190	R 2190 365340391	Noblesse oblige / Koffi Olomide - Sonodisc	1993	Olomidé, Koffi	
365342130	R 2191	R 2191 365342130	Femme sans bijoux / Viva la Musica de Papa Wemba avec Stino L'As de la Chorale - 	1989	Stino / Papa Wemba / Viva la Musica	
365390445	R 2199	R 2199 365390445	Zizina Bis / Soki Vangu et l'Orchestre Bella-Bella - African	1986	Soki Vangu / Orchestre Bella-Bella	
365413739	R 2200	R 2200 365413739	Kinshasa Brazza boyoka! / Evoloko Jocker. Langa-Langa Stars - Rythmes & Musique	1991	Evoloko Jocker / Langa Langa Stars	
365551678	R 2202	R 2202 365551678	Méditation / Afro Festival dirigé par Fantastic Thico - Sonafric (Sonodisc)	1980	Tchicaya, Tchico / Afro Festival	
365556122	R 2204	R 2204 365556122	Jeannot / Pambou-Tchicaya Tchico - Sonafric	1983	Tchicaya, Tchico	
365556777	R 2206	R 2206 365556777	Nostalgie d'Afrique / Le commandant: Tchico et l'international orchestre du Congo Les Officers of African Music - Afro-Rythmes	1984	Tchicaya, Tchico / Les Officiers of African Music	
365564389	R 2208	R 2208 365564389	Dégager la route / Tchico-Tchicaya and his super Soukous-Machine energy dance band from Congo-Zaire - C.G. Prod.	1993	Tchicaya, Tchico / Soukous-Machine	
36558066X	R 2210	R 2210 36558066X	Vol. 2 : hommage au Grand Kalle / Joseph Kabasselé et l'African Jazz - African (Sonodisc)	1984	Kabasele, Joseph / African Jazz	
365728608	R 2220	R 2220 365728608	Nakombe nga / Les Choc Stars du Zaire. Ben Nyamabo - Disques Espérance	1989	Nyamabo, Ben / Choc Stars	
365729175	R 2221	R 2221 365729175	Roboti Robota Pas de Contact / Orchestre Choc-Stars - Afro Rythmes	1980	Choc Stars	
365759465	R 2223	R 2223 365759465	Kelemani / Choc Stars - Espera	1987	Choc Stars	
365986720	R 2230	R 2230 365986720	Tour Eiffel 100 ans / Seigneur Tabu Ley avec Dje Mag'num et Wawali - Genidia, Sonodisc (Distr.)	1989	Ley, Tabu / Wawali / Dje Mag'num	
365993379	R 2238	R 2238 365993379	Lokassa / Lokassa ya M'Bongo - Prod. Moradisc	1985	Lokassa ya M'Bongo	
365994154	R 2239	R 2239 365994154	Aimer la danse Nyekesse / El Grupo Matchatcha - Afric'Music	1990	Matchatcha	
365995088	R 2241	R 2241 365995088	Kala-yi-Boeing / Wenge Musica 4x4 B.C.B.G. - W.I.B.E. Production	1990	Wenge Musica BC BG	
366004077	R 2243	R 2243 366004077	Tu es le souffle de ma vie / Beau Frère Mabiala - 00 Productions	1985	Beau Frère Mabiala	
366004891	R 2244	R 2244 366004891	Kamani Mado / Kosmos - Dragon Phénix, Safari ambiance (Distr.)	1985	Kosmos <Musiker>	
366005960	R 2245	R 2245 366005960	Dynamic Afro Soukous / Tchico et son orchestre Kilimandjaro - LPD Afro-Rythmes	1985	Tchicaya, Tchico / Groupe Kilimandjaro	
366014765	R 2249	R 2249 366014765	Le griot cante - le monde tourne / Ngeleka Kandanda - Groupe Teba	1985	Kandanda, Ngeleka	
366018795	R 2253	R 2253 366018795	Déviation sexy Soukouss / Yondo Sister - Touré Jim's Records	1990	Yondo Sister	
366019740	R 2254	R 2254 366019740	Feu rouge : ça va chauffer, c'est la danse / Tchico "La voix d'or d'Afrique" - Bellot Records	1982	Tchicaya, Tchico	
366020595	R 2255	R 2255 366020595	L'Afrique d'aujourd'hui / avec André Babindamana dit Lolita - Sonafrique, Sonodisc (Distr.)	1979	Babindamana, André	
366021524	R 2256	R 2256 366021524	Julie / Le Grand Lolo-Lolitta - Makossa Internat. Records, African Record Centre (Distr.)	1981	Lolita	
36602244X	R 2257	R 2257 36602244X	L'argent domine le monde - les officiers attaquent / Les Officiers of African Music - Ets. M.C.L.	1985	Les Officiers of African Music	
366023314	R 2258	R 2258 366023314	Ayaye / Elali - Bleu Carai͏̈bes	1991	Kanza, Lokua / Elali	
366024256	R 2259	R 2259 366024256	Super K - Amour et souvenir / Diblo (Le Groupe Loketo et les invités de Diblo) - Jimmy's Prod. (Jimmy Houetinou)	1990	Dibala, Diblo / Loketo	
366026364	R 2260	R 2260 366026364	Play boy / Djo Nolo - Mayala Production	1990	Djonolo, Givé	
366036165	R 2261	R 2261 366036165	Venus-Bazombo / Bovick & Co - M.C.I. Music	1985	Bovick	
366040111	R 2263	R 2263 366040111	Mondo Ry / Diblo & le Groupe Loketo - Jimmy's Prod. (Jimmy Houetinou), Mélodie (Distr.)	1990	Dibala, Diblo / Loketo	
366042432	R 2264	R 2264 366042432	Afro Rythmes présente 4 étoiles / 4 Étoiles: Wuta-May, Nyboma, Syran, Bopol - Afro-Rythmes	1983	Wuta Mayi / Nyboma / Mbenza, Syran / Mansiamina, Bopol / Quatres Étoiles - Four Stars	
366045032	R 2265	R 2265 366045032	Zai͏̈ro / Bobongo Stars - RCA Records	1983	Bobongo Stars	
366045903	R 2266	R 2266 366045903	Jolie Medina / Djo Nolo de Choc Musica - Eds. Mayala, Sonodisc (Distr.)	1985	Djonolo, Givé	
366046446	R 2267	R 2267 366046446	Sisika / Syran Mbenza - Syllart Records	1985	Mbenza, Syran	
366047361	R 2269	R 2269 366047361	Metal 5 / Les 5 Vénus - SM Prod., Afric'Music (Distr.)	1990	Les 5 Vénus	
366048910	R 2270	R 2270 366048910	Tout mal se paie ici bas / Wuta Mayi - Soweto Records, Safari ambiance (Distr.)	1985	Wuta Mayi	
366053175	R 2272	R 2272 366053175	Adieu Célie / Dally Kimoko - IBO Prod.	1985	Kimoko, Dally	
366054031	R 2274	R 2274 366054031	Soki vangu / Orchestre Bella Bella - Makossa Internat. Records	1985	Orchestre Bella-Bella	
366054325	R 2275	R 2275 366054325	L'amour au kilo / Mayaula Mayoni D.P. - Sonodisc	1993	Mayaula Mayoni	
366059920	R 2277	R 2277 366059920	Four stars - Quatre étoiles / 4 Étoiles: Syran M'Benza, Bopol Manziamina, Wuta Mayi, Komba Bellow - Four Stars Prod.	1985	Mbenza, Syran / Mansiamina, Bopol / Wuta Mayi / Bellow, Komba / Quatres Étoiles - Four Stars	
366064800	R 2280	R 2280 366064800	Stukas interprète "Sam Samba"  : ballade à Libreville / Orchestre Stukas - Musiclub	1985	Samba, Sam / Stukas	
366078526	R 2282	R 2282 366078526	Johnny Satou Volume 1 / Johnny Satou et son ensemble - Ledoux Records	1981	Satou, Johnny	
366166220	R 2284	R 2284 366166220	Mele n° Modjia / Fulgence Bouanga - Fely Boston - - DEG Music, Baddy Dega (Distr.)	1985	Bouanga, Fulgence	
366167278	R 2285	R 2285 366167278	Dansez Zai͏̈re / Ringo Moya - Tangent, Mélodie (Distr.)	1985	Moya, Ringo	
366171151	R 2286	R 2286 366171151	Cocoly la Charmante - Création Morgan / Cheikh Mavuela Somo - Tsiedou Prod.	1985	Mavuela	
366172603	R 2289	R 2289 366172603	Surprise / Meta & Feza - Tangent, Celluloid (Distr.)	1985	Beya, Meta / Shamamba, Feza	
366176285	R 2290	R 2290 366176285	Naleli Congo / Kosmos - Safari Sound, Safari ambiance (Distr.)	1985	Kosmos <Musiker>	
366178458	R 2291	R 2291 366178458	Zunguluke / Quatre Étoiles - 4 Stars - Syllart Records, Mélodie (Distr.)	1990	Wuta Mayi / Nyboma / Mbenza, Syran / Mansiamina, Bopol / Quatres Étoiles - Four Stars	
366178865	R 2292	R 2292 366178865	L'Orchestre Télé-Music / Orchestre Télé-Music de Brazzaville - K-Dance Prod., Eddy'son	1985	Orchestre Télé-Music de Brazzaville	
36618105X	R 2293	R 2293 36618105X	Réalité / Wally-Ngonda et Anti-Choc - Gina Kiaku Prod.	1991	Ngonda, Wally / Mukangi, Déesse / Alibaba, Kofi / Anti Choc	
366181572	R 2294	R 2294 366181572	Adama-Diallo / Ballou Canta accompagné par les Soukouss-Time - Saxone-Music	1990	Canta, Ballou / Soukouss-Time	
366181823	R 2295	R 2295 366181823	Lebo / Michelino Mavatiku Visi - Michita Prod., Sonodisc (Distr.)	1985	Mavatiku Visi, Michelino	
366234242	R 2296	R 2296 366234242	Tout feu tout flamme / Les 2 as: Master Mwana Congo ; Freddy de Majunga - Clesh Atipo Ngapy Productions, Sonodisc (Distr.)	1987	Master Mwana Congo / de Majunga, Freddy	
366260820	R 2302	R 2302 366260820	Na Pona / Menga Mokombi - Disco Stock	1985	Mokombi, Menga	
366295713	R 2304	R 2304 366295713	En vrac / Buffalo ; Yonna Basséky et les Tontons - tsé-tsé production	1985	Kawongolo, Buffalo Kalo / Basséky, Yonna / Tontons	
366296531	R 2305	R 2305 366296531	La Mama / M'Pompon Kuleta - 	1985	M'Pompon	
366558269	R 2306	R 2306 366558269	Faîtes attention - Bolingo Lady / Pompon Kuleta de l'Afrisa International - KP Production, Sonodisc (Distr.)	1986	M'Pompon	
366581627	R 2308	R 2308 366581627	Phonsina na Bondela / African Mod - sonafric, Sonodisc (Distr.)	1977	African Mod	
366582712	R 2309	R 2309 366582712	Naweyi / Shaba Kahamba et Les Esprits Saints - Saxone-Music	1985	Kahamba, Shaba / Esprits Saints	
366583115	R 2310	R 2310 366583115	Tono tono Lomamba / Franck Lassan - Kina-Rama Selection	1980	Lassan, Franck	
