PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
121912388	1022346229	Muana, Tshala	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Kongo (Demokratische Republik)(Zaire) Lubumbashi Muidikay, Élizabeth Tshala Muana Musikerin Religion Sängerin Tshala Muana Weiblich "},"conceptURI":"https://d-nb.info/1022346229","_standard":{"text":"Muana, Tshala"},"conceptName":"Muana, Tshala"}	028E	$B:	Muana, Tshala	1958-	
121927938	103434675X	Defao	{"frontendLanguage":"de","_fulltext":{"text":"Def Demokratische Republik Kongo Général Defao Kinshasa Kongo (Demokratische Republik) Matumona Defao Matumona, François Matumona, Lulendo Musiker Männlich Religion Senchal Defao "},"conceptURI":"https://d-nb.info/103434675X","_standard":{"text":"Defao"},"conceptName":"Defao"}	028E	$B:	Defao	1958-	
121927938	3017839-3	Choc Stars (Musikgruppe)	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3017839-3 (DE-588b)3073429-0 Allgemeines, Interdisziplinäre Allgemeinwörter Boziana, Bozi Choc Stars du Zaïre Demokratische Republik Kongo Kongo (Demokratische Republik) Monza 1er Choc Stars Musik (Allgemeines), Musikgeschichte Musikgruppe Nyamabo, Ben Orchestre Choc Stars "},"conceptURI":"https://d-nb.info/3017839-3","_standard":{"text":"Choc Stars (Musikgruppe)"},"conceptName":"Choc Stars (Musikgruppe)"}	029E	$B:	Choc Stars		
121928985	1071836579	Bavon Marie-Marie	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Franco, Musiker Kinshasa Kongo (Demokratische Republik) Kongo (Demokratische Republik)(Zaire) Musiker Männlich Religion Siongo Bavon Luambo Siongo Bavon M.M. "},"conceptURI":"https://d-nb.info/1071836579","_standard":{"text":"Bavon Marie-Marie"},"conceptName":"Bavon Marie-Marie"}	028E	$B:	Bavon Marie-Marie	1944-1970	
121928985	3059012-7	Orchestre Negro Succes	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3059012-7 (DE-588b)3071832-6 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte Négro Succès Orchestra Négro Succès Orchestra Négro-Succès Orchestre Négro-Succès "},"conceptURI":"https://d-nb.info/3059012-7","_standard":{"text":"Orchestre Negro Succes"},"conceptName":"Orchestre Negro Succes"}	029E	$B:	Orchestre Negro Succes		
12192999X				028E	$B:	Monsieur Jaques		
12192999X	107942735X	Lusala, Mick Jo	{"frontendLanguage":"de","_fulltext":{"text":"Kongo (Republik) Musiker Religion Republik Kongo Unbekannt "},"conceptURI":"https://d-nb.info/107942735X","_standard":{"text":"Lusala, Mick Jo"},"conceptName":"Lusala, Mick Jo"}	028E/01	$B:	Lusala, Mick Jo		
12192999X	3058910-1	Soukous Gang Musika	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3058910-1 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Republik Kongo "},"conceptURI":"https://d-nb.info/3058910-1","_standard":{"text":"Soukous Gang Musika"},"conceptName":"Soukous Gang Musika"}	029E	$B:	Soukous Gang Musika		
121930335	138677433	Pépé Kallé	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588a)138677433 Demokratische Republik Kongo Kabasele Ya Mpanya Kabasele Yampanya Kabasele, Jean Yampanya Kabasele, Ya Mpanya Kabasele, Yampanya Kabasele, Yampanya Jean Kalle Kallé Kongo (Demokratische Republik) Mulanga, Jean Kabasele Yamanya wa ba Musiker Männlich Paris Pepe Kalle Religion Yampanya, Pepe Kalle Kabasele "},"conceptURI":"https://d-nb.info/138677433","_standard":{"text":"Pépé Kallé"},"conceptName":"Pépé Kallé"}	028E	$B:	Pépé Kallé	1951-1998	
121930505	3058911-3	Classic Swédé Swédé	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3029040-5 (DE-588b)3058911-3 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Kongo (Demokratische Republik) Kongo (Demokratische Republik)(Zaire) Musik (Allgemeines), Musikgeschichte Musikgruppe Swédé Swédé "},"conceptURI":"https://d-nb.info/3058911-3","_standard":{"text":"Classic Swédé Swédé"},"conceptName":"Classic Swédé Swédé"}	029E	$B:	Classic Swédé Swédé		
121930564	118830783	Makeba, Miriam	{"frontendLanguage":"de","_fulltext":{"text":"(DE-101c)310143233 (DE-588a)111645573 (DE-588a)118830783 (DE-588a)134453239 (DE-588c)4195619-9 Allgemeines, Interdisziplinäre Allgemeinwörter Carmichael, Stokely Castel Volturno Johannesburg Makeba, Bongi Makeba, M. Makeba, Miriam Z. Makeba, Miriam Zenzi Makeba, Myriam Makeba, Myrian Makeba, Zensi Miriam Makeba, Zenzi Mama Africa Mama Afrika Manhattan Brothers Masekela, Hugh Menschenrechtlerin Musikerin Personen zu Musik Schauspielerin Singstimme Sängerin Südafrika USA Weiblich Zenzi Zenzile Makeba Qgwashu Nguvama Yiketheli Nxgowa Bantana Balomzi Xa Ufun Ubajabulisa Ubaphekeli Mbiza Yotshwala Sithi Xa Saku Qgiba Ukutja Sithathe Izitsha Sizi Khabe Singama Lawu Singama Qgwashu Singama Nqamla Nqgithi "},"conceptURI":"https://d-nb.info/118830783","_standard":{"text":"Makeba, Miriam"},"conceptName":"Makeba, Miriam"}	028E	$B:	Makeba, Miriam	1932-2008	
121930564	134782542	Ley, Tabu	{"frontendLanguage":"de","_fulltext":{"text":"(DE-101c)310472547 (DE-588a)129065609 (DE-588a)134782542 (DE-588c)7659722-2 Allgemeines, Interdisziplinäre Allgemeinwörter Komponist Kongo (Demokratische Republik) Ley LeRochereau, Tabu Ley Rocherau, Tabu Ley Rochereau, Tabu Musiker Pascal, Tabu Personen zu Musik Rochereau Rochereau, ... Rochereau, Ley Rochereau, Tabu L. Rochereau, Tabu Ley Rochereau, Tabuley Seigneur Rocherau Seigneur Rochereau Tabu Ley Tabu, Ley Unbekannt "},"conceptURI":"https://d-nb.info/134782542","_standard":{"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028E/01	$B:	Ley, Tabu	1940-2013	
