PPN	Signatur	Product	DateCreated	Artist	
487229452	R 4752	Mobutu alongi / Abbé Imana - Tabu Ley et l'Afrisa International - Genidia	1984	Imana, Abbé / Ley, Tabu / Afrisa International Orchestra	
487583531	R 4755	Eswi yo wapi / Mbilia Bel avec Seigneur Ley Rochereau - Genidia	1982	Ley, Tabu / Bel, M'bilia / Afrisa International Orchestra	
48763084X	R 4758	Kele bibi / Seigneur Tabu Ley - Disco Stock	1982	Ley, Tabu	
487632273	R 4759	Mpeve ya longo / Tabu Ley et Mbilia Bel - Disco Stock	1982	Ley, Tabu / Bel, M'bilia	
487633121	R 4760	Vol. 3 - INA Productions, Disco Stock	1980	Ley, Tabu / Afrisa International Orchestra	
487685040	R 4769	La beauté d'un femme / Rochereau & Mbilia Bel - Gaeta	1985	Ley, Tabu / Bel, M'bilia	
487689585	R 4771	Pesa ngai luzitu / Kiesse Diambu - V.I.S.A. 1980	1983	Kiesse, Diambu	
487721640	R 4772	Roumba soukous / Shaba Kahamba - Baganda Production	1990	Kahamba, Shaba	
488095220	R 4798	Voyager n'est pas la mort / Kilola - Star Musique	1982		
488350387	CD 2228	Désolé !!! / Mbilia-Bel - Celluloid	1991	Rigo Star / Bel, M'bilia	
488350409	CD 2231	O.k. Madame / Diblo-Dibala, le groupe Matchatcha - Afric’Music	1993	Dibala, Diblo / Matchatcha	
488350417	CD 2232	Rochereau 1959-1992 / Rochereau - Sonodisc	1994	Ley, Tabu / Ley, Tabu	
488350425	CD 2233	Exil-Ley / Tabu-Ley Seigneur Rochereau et l’Orchestre Afrisa - Sonodisc	1993	Ley, Tabu / Afrisa International Orchestra	
488350433	CD 2234	Le tube de vos vacances : liya liya faina / Pepe Kalle & Empire Bakuba - Les Editions Simon Lowé, SIMS Productions	1990	Pépé Kallé / Empire Bakuba	
488350441	CD 2235	Rochereau : live in concert / Rochereau - Esperance/Sonodisc	1991	Ley, Tabu	
488679087	R 4833	Doublé doublé / Nyboma - Ledoux Records	1982	Nyboma / Orchestre Les Kamale	
488814340	R 4860	20ème anniversaire : 6 Juin 1956 - 6 Juin 1976 / Tout Poissant O.K. Jazz - African	1976	Franco <Musiker> / Tout-Puissant OK Jazz	
488822343	R 4862	Ten years ago / Franco Luambo & T.P. O.K. Jazz - ASL (Associated Sound East Africa Limited)	1984	Franco <Musiker> / Tout-Puissant OK Jazz	
488827299	R 4863	Mabele / Franco & L'Orchestre TP OK - Jazz - African	1974	Franco <Musiker> / Tout-Puissant OK Jazz	
488867231	R 4875	OK Jazz : vol. 1 / O.K. Jazz - African	1962	Franco <Musiker> / Tout-Puissant OK Jazz	
488868556	R 4872	Mbongo / Franco et l'Orchestre T.P. OK Jazz - African	1977	Wuta Mayi / Tout-Puissant OK Jazz	
